 Unit of S, CV and CP is cal/mol/K, q(V=0)/NA and q(bot)/NA are dimensionless
 
     T(K)     P(atm)      S         CV        CP       q(V=0)/NA      q(bot)/NA
    50.000     1.000   108.034    44.679    46.666   7.777757E+016   0.000000E+000
   100.000     1.000   142.415    77.872    79.859   1.654554E+022   0.000000E+000
   150.000     1.000   173.536   105.362   107.349   8.254541E+026   0.000000E+000
   200.000     1.000   202.856   130.806   132.793   1.690049E+031   0.000000E+000
   250.000     1.000   231.242   157.147   159.134   1.862693E+035   0.000000E+000
   300.000     1.000   259.336   184.966   186.954   1.337690E+039   0.000000E+000
   350.000     1.000   287.419   213.368   215.355   7.149693E+042   0.000000E+000
   400.000     1.000   315.501   241.170   243.157   3.095407E+046   5.515212E-272
   450.000     1.000   343.463   267.505   269.492   1.140112E+050   4.104440E-233
   500.000     1.000   371.152   291.934   293.921   3.665630E+053   2.316457E-201
   550.000     1.000   398.430   314.341   316.328   1.041104E+057   8.456663E-175
   600.000     1.000   425.197   334.797   336.785   2.623758E+060   3.856145E-152
   650.000     1.000   451.385   353.461   355.449   5.872530E+063   1.701702E-132
   700.000     1.000   476.953   370.516   372.503   1.166748E+067   3.133509E-115
   750.000     1.000   501.883   386.136   388.123   2.056076E+070   7.027856E-100
   800.000     1.000   526.170   400.480   402.467   3.212066E+073   4.287526E-086
   850.000     1.000   549.818   413.681   415.668   4.448223E+076   1.315746E-073
   900.000     1.000   572.838   425.856   427.844   5.463060E+079   3.277850E-062
   950.000     1.000   595.247   437.103   439.091   5.955588E+082   9.678466E-052
  1000.000     1.000   617.060   447.507   449.494   5.770529E+085   4.587260E-042
