 Unit of S, CV and CP is cal/mol/K, q(V=0)/NA and q(bot)/NA are dimensionless
 
     T(K)     P(atm)      S         CV        CP       q(V=0)/NA      q(bot)/NA
    50.000     1.000   108.933    44.693    46.680   1.320192E+017   0.000000E+000
   100.000     1.000   142.809    77.323    79.310   3.114478E+022   0.000000E+000
   150.000     1.000   173.612   104.732   106.720   1.539540E+027   0.000000E+000
   200.000     1.000   202.699   130.085   132.073   3.054566E+031   0.000000E+000
   250.000     1.000   230.886   156.294   158.281   3.243855E+035   0.000000E+000
   300.000     1.000   258.792   183.955   185.942   2.240211E+039   0.000000E+000
   350.000     1.000   286.692   212.195   214.182   1.150333E+043   0.000000E+000
   400.000     1.000   314.596   239.847   241.835   4.782236E+046   2.211038E-271
   450.000     1.000   342.384   266.055   268.042   1.691005E+050   1.420883E-232
   500.000     1.000   369.905   290.378   292.366   5.219801E+053   7.073367E-201
   550.000     1.000   397.023   312.700   314.688   1.423753E+057   2.313761E-174
   600.000     1.000   423.637   333.090   335.077   3.447557E+060   9.568011E-152
   650.000     1.000   449.679   351.701   353.688   7.418866E+063   3.865799E-132
   700.000     1.000   475.109   368.714   370.702   1.418205E+067   6.568005E-115
   750.000     1.000   499.908   384.303   386.290   2.406631E+070   1.367910E-099
   800.000     1.000   524.070   398.621   400.608   3.623615E+073   7.791565E-086
   850.000     1.000   547.600   411.803   413.790   4.840846E+076   2.242783E-073
   900.000     1.000   570.508   423.962   425.950   5.740397E+079   5.261974E-062
   950.000     1.000   592.809   435.197   437.184   6.047754E+082   1.468394E-051
  1000.000     1.000   614.521   445.591   447.578   5.668073E+085   6.598140E-042
