 Unit of Ucorr, Hcorr and Gcorr is kcal/mol, unit of U, H and G is a.u.
 
     T(K)     P(atm)    Ucorr     Hcorr     Gcorr            U                H                G
    50.000     1.000   582.077   582.177   576.730     -2046.572223     -2046.572064     -2046.580744
   100.000     1.000   585.151   585.349   571.068     -2046.567325     -2046.567008     -2046.589767
   150.000     1.000   589.719   590.017   563.975     -2046.560045     -2046.559570     -2046.601070
   200.000     1.000   595.590   595.988   555.448     -2046.550689     -2046.550055     -2046.614660
   250.000     1.000   602.743   603.240   545.518     -2046.539289     -2046.538498     -2046.630483
   300.000     1.000   611.245   611.841   534.203     -2046.525742     -2046.524792     -2046.648515
   350.000     1.000   621.148   621.844   521.502     -2046.509959     -2046.508850     -2046.668756
   400.000     1.000   632.454   633.249   507.411     -2046.491942     -2046.490675     -2046.691212
   450.000     1.000   645.109   646.003   491.930     -2046.471775     -2046.470350     -2046.715881
   500.000     1.000   659.028   660.022   475.069     -2046.449594     -2046.448011     -2046.742751
   550.000     1.000   674.113   675.206   456.844     -2046.425554     -2046.423812     -2046.771795
   600.000     1.000   690.266   691.458   437.276     -2046.399813     -2046.397913     -2046.802978
   650.000     1.000   707.393   708.684   416.393     -2046.372520     -2046.370462     -2046.836258
   700.000     1.000   725.409   726.800   394.224     -2046.343809     -2046.341592     -2046.871586
   750.000     1.000   744.240   745.731   370.800     -2046.313800     -2046.311424     -2046.908915
   800.000     1.000   763.818   765.408   346.152     -2046.282600     -2046.280066     -2046.948193
   850.000     1.000   784.083   785.773   320.313     -2046.250305     -2046.247614     -2046.989371
   900.000     1.000   804.982   806.770   293.313     -2046.217002     -2046.214152     -2047.032398
   950.000     1.000   826.464   828.352   265.183     -2046.182767     -2046.179759     -2047.077225
  1000.000     1.000   848.487   850.474   235.954     -2046.147671     -2046.144505     -2047.123806
