 Unit of Ucorr, Hcorr and Gcorr is kcal/mol, unit of U, H and G is a.u.
 
     T(K)     P(atm)    Ucorr     Hcorr     Gcorr            U                H                G
    50.000     1.000   582.810   582.909   577.507     -2046.616409     -2046.616250     -2046.624859
   100.000     1.000   585.901   586.100   571.859     -2046.611482     -2046.611165     -2046.633861
   150.000     1.000   590.499   590.798   564.767     -2046.604155     -2046.603680     -2046.645162
   200.000     1.000   596.404   596.802   556.231     -2046.594745     -2046.594111     -2046.658766
   250.000     1.000   603.596   604.093   546.283     -2046.583283     -2046.582491     -2046.674618
   300.000     1.000   612.144   612.741   534.940     -2046.569661     -2046.568711     -2046.692694
   350.000     1.000   622.103   622.798   522.202     -2046.553791     -2046.552683     -2046.712994
   400.000     1.000   633.471   634.266   508.065     -2046.535675     -2046.534408     -2046.735522
   450.000     1.000   646.195   647.089   492.531     -2046.515398     -2046.513973     -2046.760277
   500.000     1.000   660.190   661.183   475.607     -2046.493096     -2046.491513     -2046.787247
   550.000     1.000   675.355   676.448   457.311     -2046.468929     -2046.467187     -2046.816404
   600.000     1.000   691.591   692.783   437.665     -2046.443055     -2046.441155     -2046.847712
   650.000     1.000   708.805   710.096   416.696     -2046.415623     -2046.413565     -2046.881128
   700.000     1.000   726.910   728.301   394.434     -2046.386770     -2046.384553     -2046.916605
   750.000     1.000   745.832   747.323   370.910     -2046.356616     -2046.354241     -2046.954092
   800.000     1.000   765.503   767.093   346.157     -2046.325269     -2046.322736     -2046.993539
   850.000     1.000   785.861   787.550   320.206     -2046.292826     -2046.290134     -2047.034895
   900.000     1.000   806.854   808.642   293.088     -2046.259372     -2046.256522     -2047.078110
   950.000     1.000   828.431   830.319   264.835     -2046.224986     -2046.221977     -2047.123134
  1000.000     1.000   850.550   852.537   235.477     -2046.189738     -2046.186571     -2047.169919
