 Unit of S, CV and CP is cal/mol/K, q(V=0)/NA and q(bot)/NA are dimensionless
 
     T(K)     P(atm)      S         CV        CP       q(V=0)/NA      q(bot)/NA
    50.000     1.000   107.691    43.905    45.892   1.026469E+017   0.000000E+000
   100.000     1.000   141.707    76.885    78.873   1.891593E+022   0.000000E+000
   150.000     1.000   172.588   104.350   106.338   8.268553E+026   0.000000E+000
   200.000     1.000   201.751   129.879   131.866   1.518068E+031   0.000000E+000
   250.000     1.000   230.041   156.335   158.322   1.530622E+035   0.000000E+000
   300.000     1.000   258.075   184.231   186.218   1.021648E+039   0.000000E+000
   350.000     1.000   286.115   212.651   214.638   5.136360E+042   0.000000E+000
   400.000     1.000   314.159   240.422   242.409   2.110224E+046   2.240883E-271
   450.000     1.000   342.082   266.695   268.682   7.422968E+049   1.306146E-232
   500.000     1.000   369.728   291.045   293.032   2.289931E+053   6.035248E-201
   550.000     1.000   396.960   313.366   315.353   6.261929E+056   1.863068E-174
   600.000     1.000   423.677   333.737   335.724   1.523376E+060   7.359828E-152
   650.000     1.000   449.813   352.319   354.306   3.298001E+063   2.866709E-132
   700.000     1.000   475.327   369.297   371.284   6.348020E+066   4.728138E-115
   750.000     1.000   500.201   384.848   386.835   1.085185E+070   9.610635E-100
   800.000     1.000   524.431   399.128   401.115   1.646376E+073   5.365056E-086
   850.000     1.000   548.022   412.273   414.260   2.216264E+076   1.518549E-073
   900.000     1.000   570.986   424.397   426.384   2.648034E+079   3.512615E-062
   950.000     1.000   593.339   435.599   437.586   2.810541E+082   9.684816E-052
  1000.000     1.000   615.097   445.962   447.949   2.653112E+085   4.307169E-042
