 Unit of Ucorr, Hcorr and Gcorr is kcal/mol, unit of U, H and G is a.u.
 
     T(K)     P(atm)    Ucorr     Hcorr     Gcorr            U                H                G
    50.000     1.000   581.379   581.478   576.094     -2046.574136     -2046.573978     -2046.582559
   100.000     1.000   584.425   584.624   570.454     -2046.569281     -2046.568965     -2046.591547
   150.000     1.000   588.973   589.271   563.383     -2046.562035     -2046.561559     -2046.602815
   200.000     1.000   594.829   595.226   554.876     -2046.552702     -2046.552069     -2046.616371
   250.000     1.000   601.978   602.475   544.964     -2046.541310     -2046.540518     -2046.632167
   300.000     1.000   610.487   611.083   533.661     -2046.527749     -2046.526799     -2046.650180
   350.000     1.000   620.410   621.105   520.965     -2046.511937     -2046.510828     -2046.670412
   400.000     1.000   631.741   632.536   506.873     -2046.493879     -2046.492612     -2046.692870
   450.000     1.000   644.427   645.321   491.384     -2046.473663     -2046.472238     -2046.717553
   500.000     1.000   658.379   659.372   474.508     -2046.451430     -2046.449846     -2046.744446
   550.000     1.000   673.497   674.590   456.262     -2046.427337     -2046.425595     -2046.773523
   600.000     1.000   689.683   690.875   436.669     -2046.401543     -2046.399643     -2046.804747
   650.000     1.000   706.841   708.133   415.755     -2046.374200     -2046.372141     -2046.838076
   700.000     1.000   724.888   726.279   393.550     -2046.345440     -2046.343224     -2046.873461
   750.000     1.000   743.747   745.237   370.087     -2046.315386     -2046.313011     -2046.910852
   800.000     1.000   763.351   764.941   345.396     -2046.284145     -2046.281611     -2046.950198
   850.000     1.000   783.641   785.330   319.511     -2046.251811     -2046.249120     -2046.991449
   900.000     1.000   804.562   806.350   292.462     -2046.218472     -2046.215622     -2047.034554
   950.000     1.000   826.065   827.953   264.281     -2046.184204     -2046.181196     -2047.079464
  1000.000     1.000   848.108   850.095   234.998     -2046.149077     -2046.145910     -2047.126130
