 Unit of S, CV and CP is cal/mol/K, q(V=0)/NA and q(bot)/NA are dimensionless
 
     T(K)     P(atm)      S         CV        CP       q(V=0)/NA      q(bot)/NA
    50.000     1.000   108.768    44.191    46.179   1.602972E+017   0.000000E+000
   100.000     1.000   142.043    75.342    77.329   3.366544E+022   0.000000E+000
   150.000     1.000   171.851   101.329   103.316   1.364135E+027   0.000000E+000
   200.000     1.000   199.874   125.604   127.592   2.127814E+031   0.000000E+000
   250.000     1.000   227.020   150.955   152.942   1.747895E+035   0.000000E+000
   300.000     1.000   253.933   177.895   179.882   9.300516E+038   0.000000E+000
   350.000     1.000   280.890   205.511   207.498   3.686536E+042   0.000000E+000
   400.000     1.000   307.898   232.612   234.600   1.188534E+046   2.988525E-263
   450.000     1.000   334.836   258.329   260.316   3.278518E+049   1.603106E-225
   500.000     1.000   361.546   282.211   284.198   7.945851E+052   1.048327E-194
   550.000     1.000   387.891   304.131   306.118   1.712934E+056   6.276259E-169
   600.000     1.000   413.766   324.151   326.138   3.299697E+059   6.101514E-147
   650.000     1.000   439.100   342.419   344.406   5.684775E+062   7.035501E-128
   700.000     1.000   463.849   359.110   361.098   8.753393E+065   3.977166E-111
   750.000     1.000   487.993   374.395   376.382   1.203471E+069   3.118937E-096
   800.000     1.000   511.523   388.425   390.412   1.476247E+072   7.402554E-083
   850.000     1.000   534.442   401.333   403.320   1.615125E+075   9.657981E-071
   900.000     1.000   556.759   413.231   415.219   1.576349E+078   1.102287E-059
   950.000     1.000   578.488   424.217   426.205   1.373327E+081   1.588983E-049
  1000.000     1.000   599.643   434.375   436.362   1.069109E+084   3.883294E-040
