 Unit of Ucorr, Hcorr and Gcorr is kcal/mol, unit of U, H and G is a.u.
 
     T(K)     P(atm)    Ucorr     Hcorr     Gcorr            U                H                G
    50.000     1.000   566.083   566.182   560.744     -2007.357380     -2007.357221     -2007.365888
   100.000     1.000   569.097   569.295   555.091     -2007.352576     -2007.352260     -2007.374896
   150.000     1.000   573.529   573.827   548.049     -2007.345513     -2007.345038     -2007.386118
   200.000     1.000   579.202   579.599   539.624     -2007.336473     -2007.335840     -2007.399544
   250.000     1.000   586.109   586.605   529.850     -2007.325466     -2007.324675     -2007.415120
   300.000     1.000   594.325   594.921   518.741     -2007.312373     -2007.311423     -2007.432824
   350.000     1.000   603.909   604.605   506.294     -2007.297099     -2007.295990     -2007.452660
   400.000     1.000   614.867   615.662   492.502     -2007.279637     -2007.278370     -2007.474637
   450.000     1.000   627.147   628.042   477.366     -2007.260067     -2007.258642     -2007.498759
   500.000     1.000   640.669   641.663   460.889     -2007.238519     -2007.236935     -2007.525016
   550.000     1.000   655.336   656.429   443.088     -2007.215146     -2007.213404     -2007.553383
   600.000     1.000   671.050   672.243   423.983     -2007.190103     -2007.188203     -2007.583830
   650.000     1.000   687.722   689.013   403.598     -2007.163536     -2007.161477     -2007.616315
   700.000     1.000   705.266   706.657   381.962     -2007.135577     -2007.133360     -2007.650794
   750.000     1.000   723.609   725.100   359.105     -2007.106345     -2007.103970     -2007.687220
   800.000     1.000   742.685   744.274   335.056     -2007.075947     -2007.073413     -2007.725544
   850.000     1.000   762.433   764.122   309.846     -2007.044476     -2007.041784     -2007.765718
   900.000     1.000   782.801   784.590   283.506     -2007.012017     -2007.009167     -2007.807694
   950.000     1.000   803.741   805.629   256.065     -2006.978647     -2006.975639     -2007.851424
  1000.000     1.000   825.209   827.196   227.553     -2006.944436     -2006.941269     -2007.896861
