 Unit of S, CV and CP is cal/mol/K, q(V=0)/NA and q(bot)/NA are dimensionless
 
     T(K)     P(atm)      S         CV        CP       q(V=0)/NA      q(bot)/NA
    50.000     1.000   110.336    44.724    46.712   4.103157E+017   0.000000E+000
   100.000     1.000   143.801    75.940    77.928   1.060569E+023   0.000000E+000
   150.000     1.000   173.739   101.905   103.892   4.848397E+027   0.000000E+000
   200.000     1.000   201.840   126.107   128.094   8.232666E+031   0.000000E+000
   250.000     1.000   229.028   151.368   153.355   7.208026E+035   0.000000E+000
   300.000     1.000   255.957   178.191   180.178   4.030034E+039   0.000000E+000
   350.000     1.000   282.907   205.657   207.645   1.660845E+043   0.000000E+000
   400.000     1.000   309.888   232.590   234.577   5.520613E+046   1.848747E-261
   450.000     1.000   336.781   258.129   260.117   1.559232E+050   7.615565E-224
   500.000     1.000   363.433   281.837   283.825   3.846826E+053   4.027307E-193
   550.000     1.000   389.708   303.593   305.580   8.400207E+056   2.023151E-167
   600.000     1.000   415.506   323.461   325.448   1.632275E+060   1.695847E-145
   650.000     1.000   440.758   341.592   343.579   2.826567E+063   1.721104E-126
   700.000     1.000   465.421   358.160   360.147   4.361543E+066   8.701166E-110
   750.000     1.000   489.477   373.334   375.321   5.993870E+069   6.179909E-095
   800.000     1.000   512.918   387.267   389.254   7.333272E+072   1.341970E-081
   850.000     1.000   535.748   400.088   402.076   7.987592E+075   1.615275E-069
   900.000     1.000   557.976   411.911   413.898   7.749239E+078   1.712595E-058
   950.000     1.000   579.617   422.830   424.817   6.702058E+081   2.306769E-048
  1000.000     1.000   600.686   432.928   434.915   5.173724E+084   5.293700E-039
