 Unit of Ucorr, Hcorr and Gcorr is kcal/mol, unit of U, H and G is a.u.
 
     T(K)     P(atm)    Ucorr     Hcorr     Gcorr            U                H                G
    50.000     1.000   564.055   564.154   558.638     -2007.325910     -2007.325752     -2007.334543
   100.000     1.000   567.098   567.296   552.916     -2007.321061     -2007.320745     -2007.343661
   150.000     1.000   571.559   571.858   545.797     -2007.313951     -2007.313476     -2007.355007
   200.000     1.000   577.259   577.657   537.289     -2007.304868     -2007.304234     -2007.368565
   250.000     1.000   584.189   584.686   527.429     -2007.293824     -2007.293032     -2007.384277
   300.000     1.000   592.423   593.019   516.232     -2007.280703     -2007.279753     -2007.402121
   350.000     1.000   602.019   602.715   503.697     -2007.265410     -2007.264302     -2007.422096
   400.000     1.000   612.980   613.775   489.819     -2007.247944     -2007.246677     -2007.444212
   450.000     1.000   625.255   626.149   474.598     -2007.228382     -2007.226957     -2007.468470
   500.000     1.000   638.762   639.756   458.039     -2007.206857     -2007.205274     -2007.494857
   550.000     1.000   653.406   654.499   440.159     -2007.183521     -2007.181779     -2007.523351
   600.000     1.000   669.090   670.282   420.978     -2007.158527     -2007.156627     -2007.553917
   650.000     1.000   685.723   687.015   400.522     -2007.132020     -2007.129962     -2007.586516
   700.000     1.000   703.223   704.614   378.819     -2007.104132     -2007.101915     -2007.621103
   750.000     1.000   721.516   723.006   355.898     -2007.074981     -2007.072606     -2007.657629
   800.000     1.000   740.536   742.125   331.791     -2007.044670     -2007.042137     -2007.696047
   850.000     1.000   760.224   761.913   306.527     -2007.013295     -2007.010603     -2007.736307
   900.000     1.000   780.528   782.316   280.138     -2006.980939     -2006.978089     -2007.778361
   950.000     1.000   801.400   803.288   252.652     -2006.947677     -2006.944669     -2007.822163
  1000.000     1.000   822.797   824.784   224.098     -2006.913578     -2006.910412     -2007.867666
