 Unit of S, CV and CP is cal/mol/K, q(V=0)/NA and q(bot)/NA are dimensionless
 
     T(K)     P(atm)      S         CV        CP       q(V=0)/NA      q(bot)/NA
    50.000     1.000    89.504    30.514    32.501   6.030478E+014   0.000000E+000
   100.000     1.000   115.558    56.881    58.868   3.750681E+018   0.000000E+000
   150.000     1.000   139.593    77.687    79.674   9.598009E+021   0.000000E+000
   200.000     1.000   161.828    94.737    96.725   1.379456E+025   0.000000E+000
   250.000     1.000   182.661   110.775   112.762   1.241547E+028   8.444917E-274
   300.000     1.000   202.577   126.899   128.887   7.702219E+030   8.199914E-221
   350.000     1.000   221.893   143.035   145.022   3.571185E+033   2.711839E-182
   400.000     1.000   240.749   158.730   160.717   1.314381E+036   7.746694E-153
   450.000     1.000   259.180   173.594   175.581   4.002684E+038   1.937077E-129
   500.000     1.000   277.178   187.414   189.401   1.036655E+041   2.703649E-110
   550.000     1.000   294.722   200.131   202.119   2.325092E+043   2.966075E-094
   600.000     1.000   311.798   211.784   213.772   4.571835E+045   1.491720E-080
   650.000     1.000   328.399   222.455   224.442   7.949981E+047   1.166173E-068
   700.000     1.000   344.527   232.239   234.227   1.230643E+050   3.391236E-058
   750.000     1.000   360.188   241.230   243.218   1.704943E+052   6.959647E-049
   800.000     1.000   375.394   249.512   251.499   2.123678E+054   1.630370E-040
   850.000     1.000   390.161   257.155   259.143   2.388075E+056   6.301013E-033
   900.000     1.000   404.504   264.223   266.210   2.433458E+058   5.353301E-026
   950.000     1.000   418.438   270.768   272.755   2.254998E+060   1.254804E-019
  1000.000     1.000   431.981   276.835   278.822   1.906606E+062   9.736859E-014
