 Unit of Ucorr, Hcorr and Gcorr is kcal/mol, unit of U, H and G is a.u.
 
     T(K)     P(atm)    Ucorr     Hcorr     Gcorr            U                H                G
    50.000     1.000   345.366   345.466   340.990     -1422.731888     -1422.731730     -1422.738861
   100.000     1.000   347.570   347.769   336.213     -1422.728376     -1422.728059     -1422.746474
   150.000     1.000   350.957   351.255   330.316     -1422.722979     -1422.722504     -1422.755872
   200.000     1.000   355.276   355.674   323.308     -1422.716095     -1422.715462     -1422.767040
   250.000     1.000   360.415   360.911   315.246     -1422.707907     -1422.707115     -1422.779887
   300.000     1.000   366.356   366.952   306.179     -1422.698439     -1422.697489     -1422.794337
   350.000     1.000   373.105   373.800   296.138     -1422.687683     -1422.686575     -1422.810338
   400.000     1.000   380.652   381.447   285.147     -1422.675657     -1422.674390     -1422.827853
   450.000     1.000   388.964   389.858   273.227     -1422.662410     -1422.660985     -1422.846849
   500.000     1.000   397.994   398.987   260.398     -1422.648021     -1422.646437     -1422.867293
   550.000     1.000   407.687   408.780   246.683     -1422.632573     -1422.630832     -1422.889150
   600.000     1.000   417.989   419.181   232.102     -1422.616156     -1422.614256     -1422.912385
   650.000     1.000   428.849   430.141   216.681     -1422.598850     -1422.596791     -1422.936961
   700.000     1.000   440.220   441.611   200.442     -1422.580729     -1422.578512     -1422.962839
   750.000     1.000   452.060   453.550   183.409     -1422.561861     -1422.559486     -1422.989982
   800.000     1.000   464.331   465.921   165.605     -1422.542305     -1422.539772     -1423.018355
   850.000     1.000   477.000   478.689   147.052     -1422.522116     -1422.519424     -1423.047921
   900.000     1.000   490.037   491.825   127.772     -1422.501340     -1422.498490     -1423.078646
   950.000     1.000   503.414   505.302   107.785     -1422.480023     -1422.477014     -1423.110497
  1000.000     1.000   517.106   519.093    87.112     -1422.458203     -1422.455037     -1423.143443
