 Unit of S, CV and CP is cal/mol/K, q(V=0)/NA and q(bot)/NA are dimensionless
 
     T(K)     P(atm)      S         CV        CP       q(V=0)/NA      q(bot)/NA
    50.000     1.000    91.127    32.111    34.098   6.872827E+014   0.000000E+000
   100.000     1.000   117.669    58.166    60.153   6.195809E+018   0.000000E+000
   150.000     1.000   141.735    78.257    80.244   2.011004E+022   0.000000E+000
   200.000     1.000   163.790    94.715    96.702   3.342816E+025   0.000000E+000
   250.000     1.000   184.371   110.358   112.345   3.284293E+028   3.181366E-272
   300.000     1.000   204.023   126.208   128.195   2.145730E+031   2.089544E-219
   350.000     1.000   223.077   142.132   144.119   1.023941E+034   5.184219E-181
   400.000     1.000   241.680   157.656   159.643   3.819934E+036   1.184168E-151
   450.000     1.000   259.870   172.379   174.366   1.166814E+039   2.469748E-128
   500.000     1.000   277.638   186.083   188.070   3.008792E+041   2.961270E-109
   550.000     1.000   294.965   198.705   200.693   6.683565E+043   2.851584E-093
   600.000     1.000   311.836   210.280   212.268   1.296603E+046   1.279515E-079
   650.000     1.000   328.241   220.887   222.874   2.218323E+048   9.038386E-068
   700.000     1.000   344.184   230.619   232.606   3.371774E+050   2.399179E-057
   750.000     1.000   359.669   239.566   241.553   4.580094E+052   4.531740E-048
   800.000     1.000   374.709   247.811   249.798   5.587866E+054   9.838404E-040
   850.000     1.000   389.317   255.424   257.412   6.150227E+056   3.544295E-032
   900.000     1.000   403.508   262.467   264.454   6.131282E+058   2.820829E-025
   950.000     1.000   417.299   268.989   270.977   5.556958E+060   6.220562E-019
  1000.000     1.000   430.704   275.038   277.025   4.594686E+062   4.558256E-013
