 Unit of Ucorr, Hcorr and Gcorr is kcal/mol, unit of U, H and G is a.u.
 
     T(K)     P(atm)    Ucorr     Hcorr     Gcorr            U                H                G
    50.000     1.000   344.090   344.190   339.633     -1422.683797     -1422.683639     -1422.690900
   100.000     1.000   346.369   346.568   334.801     -1422.680165     -1422.679849     -1422.698600
   150.000     1.000   349.802   350.100   328.840     -1422.674694     -1422.674219     -1422.708099
   200.000     1.000   354.135   354.532   321.774     -1422.667790     -1422.667157     -1422.719360
   250.000     1.000   359.261   359.758   313.665     -1422.659620     -1422.658828     -1422.732282
   300.000     1.000   365.174   365.771   304.564     -1422.650197     -1422.649247     -1422.746786
   350.000     1.000   371.884   372.579   294.502     -1422.639506     -1422.638397     -1422.762820
   400.000     1.000   379.381   380.176   283.504     -1422.627558     -1422.626291     -1422.780348
   450.000     1.000   387.636   388.530   271.588     -1422.614403     -1422.612978     -1422.799336
   500.000     1.000   396.602   397.595   258.776     -1422.600115     -1422.598531     -1422.819754
   550.000     1.000   406.226   407.319   245.088     -1422.584778     -1422.583036     -1422.841567
   600.000     1.000   416.455   417.647   230.546     -1422.568477     -1422.566577     -1422.864742
   650.000     1.000   427.238   428.529   215.173     -1422.551293     -1422.549235     -1422.889240
   700.000     1.000   438.529   439.920   198.991     -1422.533299     -1422.531083     -1422.915027
   750.000     1.000   450.287   451.777   182.025     -1422.514562     -1422.512187     -1422.942064
   800.000     1.000   462.474   464.064   164.296     -1422.495141     -1422.492607     -1422.970317
   850.000     1.000   475.057   476.746   145.827     -1422.475088     -1422.472396     -1422.999750
   900.000     1.000   488.007   489.795   126.638     -1422.454452     -1422.451601     -1423.030330
   950.000     1.000   501.295   503.183   106.749     -1422.433275     -1422.430267     -1423.062024
  1000.000     1.000   514.898   516.885    86.181     -1422.411598     -1422.408431     -1423.094801
