 Unit of S, CV and CP is cal/mol/K, q(V=0)/NA and q(bot)/NA are dimensionless
 
     T(K)     P(atm)      S         CV        CP       q(V=0)/NA      q(bot)/NA
    50.000     1.000    90.937    31.182    33.169   1.180348E+015   0.000000E+000
   100.000     1.000   117.088    57.151    59.138   9.324048E+018   0.000000E+000
   150.000     1.000   140.999    77.486    79.473   2.655193E+022   0.000000E+000
   200.000     1.000   163.052    94.348    96.335   3.998871E+025   0.000000E+000
   250.000     1.000   183.723   110.355   112.343   3.666659E+028   6.645120E-272
   300.000     1.000   203.506   126.472   128.459   2.286896E+031   3.753531E-219
   350.000     1.000   222.707   142.568   144.555   1.058902E+034   8.386738E-181
   400.000     1.000   241.454   158.188   160.176   3.876939E+036   1.777805E-151
   450.000     1.000   259.780   172.954   174.942   1.171388E+039   3.511530E-128
   500.000     1.000   277.673   186.666   188.653   3.003973E+041   4.044010E-109
   550.000     1.000   295.112   199.273   201.260   6.660528E+043   3.777902E-093
   600.000     1.000   312.082   210.819   212.806   1.292938E+046   1.656435E-079
   650.000     1.000   328.577   221.389   223.376   2.217066E+048   1.149432E-067
   700.000     1.000   344.600   231.081   233.068   3.381104E+050   3.009035E-057
   750.000     1.000   360.157   239.988   241.975   4.611158E+052   5.621956E-048
   800.000     1.000   375.261   248.194   250.181   5.650478E+054   1.209993E-039
   850.000     1.000   389.928   255.770   257.758   6.247676E+056   4.328875E-032
   900.000     1.000   404.172   262.778   264.765   6.257393E+058   3.426031E-025
   950.000     1.000   418.011   269.269   271.257   5.697463E+060   7.520885E-019
  1000.000     1.000   431.460   275.290   277.277   4.732206E+062   5.490625E-013
