 Unit of Ucorr, Hcorr and Gcorr is kcal/mol, unit of U, H and G is a.u.
 
     T(K)     P(atm)    Ucorr     Hcorr     Gcorr            U                H                G
    50.000     1.000   343.772   343.871   339.324     -1422.689103     -1422.688945     -1422.696191
   100.000     1.000   346.001   346.200   334.491     -1422.685551     -1422.685234     -1422.703893
   150.000     1.000   349.388   349.686   328.536     -1422.680153     -1422.679678     -1422.713382
   200.000     1.000   353.692   354.089   321.479     -1422.673295     -1422.672661     -1422.724629
   250.000     1.000   358.810   359.306   313.376     -1422.665139     -1422.664347     -1422.737542
   300.000     1.000   364.730   365.326   304.274     -1422.655704     -1422.654754     -1422.752047
   350.000     1.000   371.457   372.152   294.205     -1422.644984     -1422.643876     -1422.768093
   400.000     1.000   378.978   379.773   283.192     -1422.632998     -1422.631731     -1422.785644
   450.000     1.000   387.261   388.155   271.254     -1422.619798     -1422.618373     -1422.804667
   500.000     1.000   396.256   397.250   258.413     -1422.605464     -1422.603880     -1422.825130
   550.000     1.000   405.909   407.002   244.691     -1422.590081     -1422.588339     -1422.846999
   600.000     1.000   416.166   417.358   230.109     -1422.573736     -1422.571836     -1422.870236
   650.000     1.000   426.975   428.267   214.691     -1422.556511     -1422.554452     -1422.894806
   700.000     1.000   438.290   439.681   198.461     -1422.538479     -1422.536262     -1422.920670
   750.000     1.000   450.070   451.560   181.443     -1422.519706     -1422.517331     -1422.947791
   800.000     1.000   462.277   463.867   163.658     -1422.500253     -1422.497719     -1422.976133
   850.000     1.000   474.879   476.568   145.129     -1422.480171     -1422.477479     -1423.005660
   900.000     1.000   487.845   489.633   125.878     -1422.459508     -1422.456658     -1423.036339
   950.000     1.000   501.148   503.036   105.925     -1422.438308     -1422.435300     -1423.068135
  1000.000     1.000   514.764   516.751    85.291     -1422.416610     -1422.413443     -1423.101019
