 Unit of S, CV and CP is cal/mol/K, q(V=0)/NA and q(bot)/NA are dimensionless
 
     T(K)     P(atm)      S         CV        CP       q(V=0)/NA      q(bot)/NA
    50.000     1.000    89.896    30.955    32.942   5.883621E+014   0.000000E+000
   100.000     1.000   115.542    55.572    57.559   4.061067E+018   0.000000E+000
   150.000     1.000   138.550    74.491    76.479   9.742531E+021   0.000000E+000
   200.000     1.000   159.578    90.094    92.081   1.189440E+025   0.000000E+000
   250.000     1.000   179.187   104.976   106.963   8.643155E+027   3.298582E-259
   300.000     1.000   197.911   120.123   122.111   4.219055E+030   8.775281E-209
   350.000     1.000   216.078   135.410   137.397   1.519892E+033   3.956221E-172
   400.000     1.000   233.832   150.362   152.349   4.322864E+035   4.210231E-144
   450.000     1.000   251.210   164.574   166.561   1.016085E+038   7.684709E-122
   500.000     1.000   268.201   177.821   179.808   2.033914E+040   1.256493E-103
   550.000     1.000   284.784   190.029   192.017   3.536203E+042   2.282340E-088
   600.000     1.000   300.940   201.226   203.213   5.411164E+044   2.467821E-075
   650.000     1.000   316.660   211.483   213.471   7.355763E+046   5.078387E-064
   700.000     1.000   331.942   220.889   222.876   8.944455E+048   4.563392E-054
   750.000     1.000   346.791   229.530   231.517   9.782608E+050   3.293616E-045
   800.000     1.000   361.216   237.486   239.473   9.667942E+052   3.017180E-037
   850.000     1.000   375.230   244.824   246.812   8.668668E+054   4.980382E-030
   900.000     1.000   388.846   251.606   253.593   7.077914E+056   1.946498E-023
   950.000     1.000   402.078   257.882   259.869   5.280432E+058   2.235737E-017
  1000.000     1.000   414.941   263.696   265.683   3.611015E+060   8.975178E-012
