 Unit of Ucorr, Hcorr and Gcorr is kcal/mol, unit of U, H and G is a.u.
 
     T(K)     P(atm)    Ucorr     Hcorr     Gcorr            U                H                G
    50.000     1.000   328.515   328.614   324.119     -1383.467520     -1383.467361     -1383.474524
   100.000     1.000   330.702   330.900   319.346     -1383.464034     -1383.463718     -1383.482130
   150.000     1.000   333.974   334.272   313.489     -1383.458820     -1383.458345     -1383.491464
   200.000     1.000   338.096   338.493   306.577     -1383.452251     -1383.451618     -1383.502479
   250.000     1.000   342.972   343.469   298.672     -1383.444480     -1383.443688     -1383.515076
   300.000     1.000   348.598   349.194   289.821     -1383.435514     -1383.434564     -1383.529181
   350.000     1.000   354.987   355.682   280.055     -1383.425333     -1383.424225     -1383.544744
   400.000     1.000   362.134   362.928   269.396     -1383.413944     -1383.412677     -1383.561732
   450.000     1.000   370.011   370.905   257.860     -1383.401391     -1383.399966     -1383.580114
   500.000     1.000   378.575   379.568   245.468     -1383.387743     -1383.386160     -1383.599863
   550.000     1.000   387.775   388.868   232.237     -1383.373081     -1383.371340     -1383.620947
   600.000     1.000   397.561   398.753   218.189     -1383.357487     -1383.355587     -1383.643334
   650.000     1.000   407.882   409.174   203.345     -1383.341039     -1383.338981     -1383.666989
   700.000     1.000   418.695   420.086   187.727     -1383.323808     -1383.321591     -1383.691879
   750.000     1.000   429.959   431.449   171.356     -1383.305858     -1383.303483     -1383.717968
   800.000     1.000   441.637   443.226   154.253     -1383.287248     -1383.284715     -1383.745222
   850.000     1.000   453.697   455.386   136.440     -1383.268029     -1383.265337     -1383.773609
   900.000     1.000   466.110   467.898   117.937     -1383.248248     -1383.245398     -1383.803096
   950.000     1.000   478.849   480.737    98.763     -1383.227946     -1383.224938     -1383.833652
  1000.000     1.000   491.890   493.877    78.936     -1383.207164     -1383.203997     -1383.865248
