 Unit of S, CV and CP is cal/mol/K, q(V=0)/NA and q(bot)/NA are dimensionless
 
     T(K)     P(atm)      S         CV        CP       q(V=0)/NA      q(bot)/NA
    50.000     1.000    91.177    31.939    33.926   8.522435E+014   0.000000E+000
   100.000     1.000   117.296    56.761    58.749   7.647106E+018   0.000000E+000
   150.000     1.000   140.561    75.511    77.498   2.216290E+022   0.000000E+000
   200.000     1.000   161.709    90.912    92.899   3.107860E+025   0.000000E+000
   250.000     1.000   181.368   105.620   107.608   2.506337E+028   8.113359E-257
   300.000     1.000   200.100   120.594   122.582   1.325913E+031   1.115962E-206
   350.000     1.000   218.247   135.694   137.681   5.087996E+033   3.158778E-170
   400.000     1.000   235.958   150.450   152.438   1.521283E+036   2.377172E-142
   450.000     1.000   253.274   164.467   166.454   3.719905E+038   3.316053E-120
   500.000     1.000   270.190   177.525   179.513   7.680937E+040   4.370134E-102
   550.000     1.000   286.686   189.559   191.546   1.367945E+043   6.645163E-087
   600.000     1.000   302.750   200.595   202.582   2.131850E+045   6.184773E-074
   650.000     1.000   318.372   210.708   212.695   2.937158E+047   1.118816E-062
   700.000     1.000   333.553   219.983   221.971   3.605163E+049   8.982786E-053
   750.000     1.000   348.300   228.509   230.496   3.966560E+051   5.867698E-044
   800.000     1.000   362.623   236.362   238.350   3.932150E+053   4.915362E-036
   850.000     1.000   376.534   243.611   245.598   3.527983E+055   7.482462E-029
   900.000     1.000   390.049   250.313   252.300   2.876476E+057   2.715848E-022
   950.000     1.000   403.181   256.518   258.505   2.139170E+059   2.914058E-016
  1000.000     1.000   415.946   262.270   264.257   1.456061E+061   1.098297E-010
