 Unit of Ucorr, Hcorr and Gcorr is kcal/mol, unit of U, H and G is a.u.
 
     T(K)     P(atm)    Ucorr     Hcorr     Gcorr            U                H                G
    50.000     1.000   326.340   326.439   321.880     -1383.432247     -1383.432089     -1383.439354
   100.000     1.000   328.583   328.782   317.052     -1383.428671     -1383.428355     -1383.447047
   150.000     1.000   331.911   332.209   311.125     -1383.423368     -1383.422893     -1383.456493
   200.000     1.000   336.079   336.476   304.135     -1383.416726     -1383.416093     -1383.467633
   250.000     1.000   340.992   341.489   296.147     -1383.408897     -1383.408105     -1383.480362
   300.000     1.000   346.646   347.242   287.212     -1383.399887     -1383.398937     -1383.494601
   350.000     1.000   353.054   353.749   277.363     -1383.389675     -1383.388567     -1383.510297
   400.000     1.000   360.210   361.005   266.621     -1383.378272     -1383.377005     -1383.527414
   450.000     1.000   368.086   368.981   255.007     -1383.365719     -1383.364294     -1383.545922
   500.000     1.000   376.640   377.634   242.539     -1383.352088     -1383.350504     -1383.565792
   550.000     1.000   385.822   386.915   229.237     -1383.337456     -1383.335715     -1383.586990
   600.000     1.000   395.580   396.772   215.122     -1383.321906     -1383.320006     -1383.609483
   650.000     1.000   405.866   407.157   200.216     -1383.305514     -1383.303456     -1383.633238
   700.000     1.000   416.636   418.027   184.540     -1383.288350     -1383.286133     -1383.658219
   750.000     1.000   427.852   429.342   168.117     -1383.270477     -1383.268102     -1383.684391
   800.000     1.000   439.476   441.066   150.968     -1383.251953     -1383.249419     -1383.711720
   850.000     1.000   451.478   453.167   133.113     -1383.232827     -1383.230135     -1383.740174
   900.000     1.000   463.828   465.617   114.572     -1383.213145     -1383.210295     -1383.769719
   950.000     1.000   476.501   478.389    95.366     -1383.192950     -1383.189941     -1383.800326
  1000.000     1.000   489.472   491.460    75.513     -1383.172279     -1383.169112     -1383.831964
