 Unit of S, CV and CP is cal/mol/K, q(V=0)/NA and q(bot)/NA are dimensionless
 
     T(K)     P(atm)      S         CV        CP       q(V=0)/NA      q(bot)/NA
    50.000     1.000    75.487    19.747    21.734   9.330683E+012   0.000000E+000
   100.000     1.000    92.641    34.994    36.981   4.053909E+015   0.000000E+000
   150.000     1.000   107.886    47.650    49.638   6.913880E+017   0.000000E+000
   200.000     1.000   121.964    58.726    60.714   7.282840E+019   1.477419E-244
   250.000     1.000   135.285    69.692    71.679   5.510895E+021   6.123286E-190
   300.000     1.000   148.183    81.009    82.996   3.288781E+023   5.270320E-153
   350.000     1.000   160.838    92.448    94.435   1.651011E+025   3.436780E-126
   400.000     1.000   173.310   103.604   105.591   7.276735E+026   1.036425E-105
   450.000     1.000   185.591   114.163   116.150   2.892333E+028   1.838441E-089
   500.000     1.000   197.649   123.965   125.952   1.053685E+030   3.512304E-076
   550.000     1.000   209.453   132.969   134.956   3.552080E+031   4.594020E-065
   600.000     1.000   220.978   141.205   143.193   1.114425E+033   1.410756E-055
   650.000     1.000   232.211   148.737   150.725   3.265708E+034   2.386339E-047
   700.000     1.000   243.146   155.637   157.624   8.960601E+035   4.088255E-040
   750.000     1.000   253.782   161.972   163.959   2.306548E+037   1.108877E-033
   800.000     1.000   264.123   167.804   169.791   5.579212E+038   6.658457E-028
   850.000     1.000   274.177   173.184   175.171   1.270106E+040   1.144132E-022
   900.000     1.000   283.952   178.157   180.144   2.725327E+041   6.870990E-018
   950.000     1.000   293.457   182.761   184.748   5.520244E+042   1.689216E-013
  1000.000     1.000   302.702   187.028   189.015   1.057077E+044   1.929956E-009
