 Unit of Ucorr, Hcorr and Gcorr is kcal/mol, unit of U, H and G is a.u.
 
     T(K)     P(atm)    Ucorr     Hcorr     Gcorr            U                H                G
    50.000     1.000   241.915   242.014   238.240      -887.243911      -887.243753      -887.249768
   100.000     1.000   243.292   243.490   234.226      -887.241717      -887.241401      -887.256164
   150.000     1.000   245.368   245.666   229.483      -887.238408      -887.237933      -887.263722
   200.000     1.000   248.030   248.428   224.035      -887.234166      -887.233532      -887.272405
   250.000     1.000   251.240   251.736   217.915      -887.229051      -887.228260      -887.282157
   300.000     1.000   255.006   255.602   211.147      -887.223050      -887.222100      -887.292943
   350.000     1.000   259.343   260.038   203.745      -887.216139      -887.215030      -887.304739
   400.000     1.000   264.246   265.041   195.717      -887.208325      -887.207058      -887.317533
   450.000     1.000   269.693   270.587   187.071      -887.199644      -887.198219      -887.331310
   500.000     1.000   275.650   276.643   177.819      -887.190152      -887.188568      -887.346055
   550.000     1.000   282.076   283.169   167.970      -887.179910      -887.178169      -887.361750
   600.000     1.000   288.934   290.126   157.539      -887.168982      -887.167082      -887.378373
   650.000     1.000   296.185   297.477   146.539      -887.157427      -887.155368      -887.395902
   700.000     1.000   303.797   305.188   134.986      -887.145296      -887.143080      -887.414314
   750.000     1.000   311.739   313.230   122.893      -887.132639      -887.130264      -887.433584
   800.000     1.000   319.986   321.575   110.277      -887.119498      -887.116964      -887.453690
   850.000     1.000   328.512   330.201    97.151      -887.105910      -887.103218      -887.474608
   900.000     1.000   337.297   339.086    83.529      -887.091910      -887.089060      -887.496316
   950.000     1.000   346.322   348.209    69.425      -887.077529      -887.074520      -887.518791
  1000.000     1.000   355.568   357.555    54.853      -887.062794      -887.059627      -887.542013
