 Unit of S, CV and CP is cal/mol/K, q(V=0)/NA and q(bot)/NA are dimensionless
 
     T(K)     P(atm)      S         CV        CP       q(V=0)/NA      q(bot)/NA
    50.000     1.000    77.964    20.697    22.684   3.778598E+013   0.000000E+000
   100.000     1.000    95.235    35.188    37.175   2.304795E+016   0.000000E+000
   150.000     1.000   110.249    47.283    49.271   4.512937E+018   0.000000E+000
   200.000     1.000   124.058    58.173    60.161   5.025838E+020   5.597776E-242
   250.000     1.000   137.151    69.127    71.114   3.878995E+022   1.062099E-187
   300.000     1.000   149.864    80.455    82.442   2.323392E+024   5.378492E-151
   350.000     1.000   162.364    91.873    93.860   1.161613E+026   2.385188E-124
   400.000     1.000   174.696   102.970   104.957   5.077538E+027   5.358666E-104
   450.000     1.000   186.844   113.445   115.433   1.996354E+029   7.526556E-088
   500.000     1.000   198.774   123.151   125.138   7.180815E+030   1.188219E-074
   550.000     1.000   210.453   132.054   134.041   2.386747E+032   1.324646E-063
   600.000     1.000   221.856   140.192   142.180   7.374714E+033   3.548250E-054
   650.000     1.000   232.969   147.632   149.619   2.126396E+035   5.329196E-046
   700.000     1.000   243.785   154.445   156.432   5.736583E+036   8.220228E-039
   750.000     1.000   254.305   160.702   162.689   1.451003E+038   2.029941E-032
   800.000     1.000   264.533   166.462   168.450   3.447175E+039   1.119863E-026
   850.000     1.000   274.477   171.779   173.766   7.704729E+040   1.781197E-021
   900.000     1.000   284.144   176.695   178.683   1.622728E+042   9.963804E-017
   950.000     1.000   293.544   181.249   183.236   3.225621E+043   2.293890E-012
  1000.000     1.000   302.687   185.471   187.458   6.060902E+044   2.465464E-008
