 Unit of Ucorr, Hcorr and Gcorr is kcal/mol, unit of U, H and G is a.u.
 
     T(K)     P(atm)    Ucorr     Hcorr     Gcorr            U                H                G
    50.000     1.000   240.376   240.475   236.577      -887.203519      -887.203360      -887.209572
   100.000     1.000   241.782   241.981   232.458      -887.201277      -887.200960      -887.216137
   150.000     1.000   243.853   244.151   227.613      -887.197978      -887.197503      -887.223857
   200.000     1.000   246.491   246.888   222.077      -887.193774      -887.193140      -887.232680
   250.000     1.000   249.672   250.169   215.881      -887.188705      -887.187913      -887.242554
   300.000     1.000   253.410   254.006   209.047      -887.182747      -887.181797      -887.253444
   350.000     1.000   257.719   258.414   201.587      -887.175881      -887.174772      -887.265333
   400.000     1.000   262.592   263.387   193.509      -887.168115      -887.166848      -887.278206
   450.000     1.000   268.005   268.900   184.820      -887.159488      -887.158063      -887.292053
   500.000     1.000   273.924   274.917   175.530      -887.150057      -887.148473      -887.306857
   550.000     1.000   280.307   281.400   165.651      -887.139884      -887.138142      -887.322601
   600.000     1.000   287.116   288.309   155.195      -887.129033      -887.127133      -887.339263
   650.000     1.000   294.315   295.606   144.177      -887.117562      -887.115503      -887.356822
   700.000     1.000   301.869   303.260   132.611      -887.105523      -887.103306      -887.375253
   750.000     1.000   309.750   311.240   120.512      -887.092964      -887.090589      -887.394534
   800.000     1.000   317.931   319.521   107.894      -887.079927      -887.077393      -887.414641
   850.000     1.000   326.389   328.078    94.773      -887.066448      -887.063757      -887.435552
   900.000     1.000   335.102   336.891    81.161      -887.052563      -887.049713      -887.457243
   950.000     1.000   344.052   345.940    67.073      -887.038300      -887.035291      -887.479694
  1000.000     1.000   353.221   355.209    52.521      -887.023688      -887.020521      -887.502884
