 Unit of S, CV and CP is cal/mol/K, q(V=0)/NA and q(bot)/NA are dimensionless
 
     T(K)     P(atm)      S         CV        CP       q(V=0)/NA      q(bot)/NA
    50.000     1.000    74.961    19.530    21.517   7.390971E+012   0.000000E+000
   100.000     1.000    92.140    34.777    36.764   2.895771E+015   0.000000E+000
   150.000     1.000   107.363    47.461    49.449   4.685426E+017   0.000000E+000
   200.000     1.000   121.430    58.570    60.557   4.768053E+019   6.288420E-245
   250.000     1.000   134.745    69.546    71.534   3.519711E+021   2.771196E-190
   300.000     1.000   147.638    80.865    82.852   2.060984E+023   2.478611E-153
   350.000     1.000   160.289    92.304    94.291   1.018934E+025   1.658400E-126
   400.000     1.000   172.758   103.462   105.449   4.433896E+026   5.091969E-106
   450.000     1.000   185.035   114.025   116.012   1.743211E+028   9.150377E-090
   500.000     1.000   197.091   123.834   125.821   6.290416E+029   1.765060E-076
   550.000     1.000   208.894   132.846   134.833   2.102852E+031   2.325509E-065
   600.000     1.000   220.419   141.092   143.079   6.548439E+032   7.181325E-056
   650.000     1.000   231.652   148.633   150.620   1.906179E+034   1.220055E-047
   700.000     1.000   242.588   155.541   157.529   5.198902E+035   2.097409E-040
   750.000     1.000   253.225   161.885   163.872   1.330987E+037   5.704628E-034
   800.000     1.000   263.568   167.725   169.712   3.203592E+038   3.433107E-028
   850.000     1.000   273.625   173.113   175.100   7.260170E+039   5.909928E-023
   900.000     1.000   283.402   178.093   180.080   1.551438E+041   3.554504E-018
   950.000     1.000   292.910   182.703   184.690   3.130621E+042   8.749606E-014
  1000.000     1.000   302.157   186.976   188.963   5.974014E+043   1.000706E-009
