 Unit of Ucorr, Hcorr and Gcorr is kcal/mol, unit of U, H and G is a.u.
 
     T(K)     P(atm)    Ucorr     Hcorr     Gcorr            U                H                G
    50.000     1.000   242.069   242.169   238.421      -887.243679      -887.243521      -887.249494
   100.000     1.000   243.436   243.635   234.421      -887.241501      -887.241185      -887.255868
   150.000     1.000   245.502   245.800   229.696      -887.238209      -887.237734      -887.263398
   200.000     1.000   248.156   248.553   224.267      -887.233980      -887.233346      -887.272049
   250.000     1.000   251.358   251.854   218.168      -887.228877      -887.228086      -887.281768
   300.000     1.000   255.117   255.713   211.421      -887.222887      -887.221937      -887.292520
   350.000     1.000   259.446   260.142   204.040      -887.215988      -887.214879      -887.304282
   400.000     1.000   264.342   265.137   196.034      -887.208185      -887.206918      -887.317041
   450.000     1.000   269.782   270.677   187.411      -887.199516      -887.198091      -887.330783
   500.000     1.000   275.732   276.726   178.180      -887.190034      -887.188451      -887.345493
   550.000     1.000   282.152   283.245   168.354      -887.179803      -887.178061      -887.361152
   600.000     1.000   289.004   290.196   157.945      -887.168884      -887.166984      -887.377740
   650.000     1.000   296.250   297.541   146.967      -887.157337      -887.155279      -887.395234
   700.000     1.000   303.857   305.248   135.436      -887.145215      -887.142998      -887.413610
   750.000     1.000   311.795   313.285   123.366      -887.132565      -887.130190      -887.432845
   800.000     1.000   320.037   321.627   110.772      -887.119430      -887.116897      -887.452915
   850.000     1.000   328.560   330.249    97.668      -887.105848      -887.103157      -887.473798
   900.000     1.000   337.341   339.130    84.068      -887.091854      -887.089004      -887.495470
   950.000     1.000   346.363   348.250    69.986      -887.077477      -887.074469      -887.517911
  1000.000     1.000   355.606   357.593    55.436      -887.062747      -887.059580      -887.541098
