 Unit of S, CV and CP is cal/mol/K, q(V=0)/NA and q(bot)/NA are dimensionless
 
     T(K)     P(atm)      S         CV        CP       q(V=0)/NA      q(bot)/NA
    50.000     1.000    76.412    20.477    22.464   1.147910E+013   0.000000E+000
   100.000     1.000    93.791    35.231    37.218   5.833602E+015   0.000000E+000
   150.000     1.000   108.865    47.321    49.308   1.076072E+018   0.000000E+000
   200.000     1.000   122.700    58.181    60.168   1.165000E+020   1.077540E-242
   250.000     1.000   135.805    69.109    71.097   8.842510E+021   2.086707E-188
   300.000     1.000   148.523    80.420    82.407   5.236242E+023   1.070922E-151
   350.000     1.000   161.023    91.827    93.814   2.595611E+025   4.792772E-125
   400.000     1.000   173.355   102.919   104.906   1.126851E+027   1.083728E-104
   450.000     1.000   185.502   113.393   115.380   4.405456E+028   1.529266E-088
   500.000     1.000   197.432   123.099   125.086   1.576997E+030   2.422557E-075
   550.000     1.000   209.110   132.005   133.992   5.219699E+031   2.707657E-064
   600.000     1.000   220.512   140.146   142.133   1.606893E+033   7.267015E-055
   650.000     1.000   231.624   147.589   149.576   4.618165E+034   1.093091E-046
   700.000     1.000   242.441   154.406   156.394   1.242262E+036   1.688056E-039
   750.000     1.000   252.961   160.667   162.654   3.133946E+037   4.172408E-033
   800.000     1.000   263.190   166.431   168.418   7.427794E+038   2.303492E-027
   850.000     1.000   273.134   171.751   173.738   1.656620E+040   3.665973E-022
   900.000     1.000   282.802   176.670   178.658   3.482280E+041   2.051681E-017
   950.000     1.000   292.203   181.226   183.214   6.909659E+042   4.725270E-013
  1000.000     1.000   301.347   185.451   187.438   1.296196E+044   5.080333E-009
