 Unit of Ucorr, Hcorr and Gcorr is kcal/mol, unit of U, H and G is a.u.
 
     T(K)     P(atm)    Ucorr     Hcorr     Gcorr            U                H                G
    50.000     1.000   240.415   240.515   236.694      -887.202267      -887.202109      -887.208197
   100.000     1.000   241.820   242.018   232.639      -887.200029      -887.199712      -887.214659
   150.000     1.000   243.892   244.190   227.861      -887.196726      -887.196251      -887.222274
   200.000     1.000   246.531   246.929   222.389      -887.192520      -887.191887      -887.230994
   250.000     1.000   249.712   250.209   216.258      -887.187452      -887.186660      -887.240765
   300.000     1.000   253.449   254.045   209.488      -887.181496      -887.180546      -887.251552
   350.000     1.000   257.756   258.451   202.093      -887.174633      -887.173525      -887.263337
   400.000     1.000   262.626   263.421   194.080      -887.166871      -887.165604      -887.276108
   450.000     1.000   268.037   268.931   185.456      -887.158249      -887.156824      -887.289851
   500.000     1.000   273.953   274.946   176.231      -887.148821      -887.147238      -887.304552
   550.000     1.000   280.334   281.427   166.416      -887.138653      -887.136911      -887.320192
   600.000     1.000   287.141   288.333   156.026      -887.127805      -887.125905      -887.336750
   650.000     1.000   294.337   295.628   145.073      -887.116338      -887.114279      -887.354205
   700.000     1.000   301.889   303.280   133.572      -887.104302      -887.102086      -887.372533
   750.000     1.000   309.768   311.258   121.538      -887.091746      -887.089371      -887.391710
   800.000     1.000   317.947   319.537   108.985      -887.078712      -887.076178      -887.411714
   850.000     1.000   326.404   328.093    95.929      -887.065236      -887.062544      -887.432521
   900.000     1.000   335.116   336.904    82.382      -887.051352      -887.048502      -887.454108
   950.000     1.000   344.065   345.953    68.359      -887.037091      -887.034083      -887.476455
  1000.000     1.000   353.233   355.220    53.873      -887.022480      -887.019314      -887.499541
