 Unit of S, CV and CP is cal/mol/K, q(V=0)/NA and q(bot)/NA are dimensionless
 
     T(K)     P(atm)      S         CV        CP       q(V=0)/NA      q(bot)/NA
    50.000     1.000    75.925    19.748    21.735   1.152217E+013   0.000000E+000
   100.000     1.000    92.377    33.195    35.182   5.206938E+015   0.000000E+000
   150.000     1.000   106.507    44.170    46.157   7.803134E+017   0.000000E+000
   200.000     1.000   119.363    53.890    55.877   6.672600E+019   3.395796E-226
   250.000     1.000   131.463    63.737    65.724   3.946934E+021   2.299202E-175
   300.000     1.000   143.175    74.096    76.083   1.809024E+023   5.352319E-141
   350.000     1.000   154.692    84.702    86.689   6.923534E+024   4.706491E-116
   400.000     1.000   166.073    95.129    97.116   2.322274E+026   5.238858E-097
   450.000     1.000   177.311   105.051   107.038   7.034848E+027   6.729558E-082
   500.000     1.000   188.374   114.292   116.280   1.959795E+029   1.495786E-069
   550.000     1.000   199.228   122.800   124.787   5.075023E+030   3.219993E-059
   600.000     1.000   209.845   130.593   132.580   1.229455E+032   2.114762E-050
   650.000     1.000   220.209   137.722   139.709   2.797369E+033   9.372852E-043
   700.000     1.000   230.310   144.253   146.240   5.993601E+034   4.941656E-036
   750.000     1.000   240.145   150.247   152.234   1.211613E+036   4.696810E-030
   800.000     1.000   249.717   155.761   157.748   2.314537E+037   1.099324E-024
   850.000     1.000   259.029   160.843   162.831   4.184106E+038   8.044880E-020
   900.000     1.000   268.088   165.536   167.524   7.167417E+039   2.216810E-015
   950.000     1.000   276.900   169.876   171.864   1.164968E+041   2.664452E-011
  1000.000     1.000   285.475   173.894   175.882   1.798959E+042   1.571631E-007
