 Unit of Ucorr, Hcorr and Gcorr is kcal/mol, unit of U, H and G is a.u.
 
     T(K)     P(atm)    Ucorr     Hcorr     Gcorr            U                H                G
    50.000     1.000   225.094   225.194   221.397      -847.983494      -847.983336      -847.989386
   100.000     1.000   226.427   226.626   217.388      -847.981370      -847.981054      -847.995775
   150.000     1.000   228.370   228.668   212.693      -847.978274      -847.977799      -848.003258
   200.000     1.000   230.824   231.221   207.348      -847.974364      -847.973731      -848.011774
   250.000     1.000   233.762   234.259   201.393      -847.969681      -847.968890      -848.021264
   300.000     1.000   237.206   237.802   194.850      -847.964193      -847.963243      -848.031692
   350.000     1.000   241.176   241.871   187.729      -847.957867      -847.956758      -848.043039
   400.000     1.000   245.673   246.468   180.039      -847.950700      -847.949433      -848.055295
   450.000     1.000   250.680   251.575   171.784      -847.942721      -847.941295      -848.068449
   500.000     1.000   256.167   257.161   162.973      -847.933977      -847.932394      -848.082491
   550.000     1.000   262.097   263.190   153.615      -847.924526      -847.922785      -848.097404
   600.000     1.000   268.435   269.627   143.720      -847.914427      -847.912527      -848.113172
   650.000     1.000   275.146   276.437   133.302      -847.903733      -847.901674      -848.129775
   700.000     1.000   282.197   283.588   122.372      -847.892495      -847.890278      -848.147194
   750.000     1.000   289.562   291.052   110.943      -847.880759      -847.878384      -848.165405
   800.000     1.000   297.214   298.804    99.030      -847.868564      -847.866031      -848.184390
   850.000     1.000   305.131   306.820    86.645      -847.855948      -847.853256      -848.204127
   900.000     1.000   313.292   315.080    73.802      -847.842943      -847.840093      -848.224595
   950.000     1.000   321.679   323.566    60.511      -847.829578      -847.826569      -848.245775
  1000.000     1.000   330.274   332.261    46.786      -847.815880      -847.812713      -848.267647
