 Unit of S, CV and CP is cal/mol/K, q(V=0)/NA and q(bot)/NA are dimensionless
 
     T(K)     P(atm)      S         CV        CP       q(V=0)/NA      q(bot)/NA
    50.000     1.000    76.812    20.589    22.577   1.713975E+013   0.000000E+000
   100.000     1.000    94.093    34.627    36.615   9.639299E+015   0.000000E+000
   150.000     1.000   108.675    45.332    47.319   1.751597E+018   0.000000E+000
   200.000     1.000   121.757    54.797    56.784   1.734833E+020   2.467710E-223
   250.000     1.000   133.978    64.452    66.439   1.147321E+022   6.054999E-173
   300.000     1.000   145.754    74.627    76.615   5.734161E+023   7.252608E-139
   350.000     1.000   157.294    85.036    87.024   2.349683E+025   3.993151E-114
   400.000     1.000   168.668    95.258    97.245   8.320758E+026   3.138204E-095
   450.000     1.000   179.876   104.974   106.962   2.631723E+028   3.077914E-080
   500.000     1.000   190.890   114.020   116.007   7.585953E+029   5.510928E-068
   550.000     1.000   201.681   122.346   124.334   2.017553E+031   9.927461E-058
   600.000     1.000   212.226   129.973   131.961   4.988958E+032   5.610764E-049
   650.000     1.000   222.510   136.955   138.942   1.152718E+034   2.185649E-041
   700.000     1.000   232.528   143.353   145.340   2.497266E+035   1.029481E-034
   750.000     1.000   242.277   149.230   151.217   5.085924E+036   8.854816E-029
   800.000     1.000   251.760   154.640   156.627   9.758219E+037   1.895089E-023
   850.000     1.000   260.984   159.631   161.618   1.767204E+039   1.278865E-018
   900.000     1.000   269.954   164.244   166.231   3.026028E+040   3.272511E-014
   950.000     1.000   278.679   168.513   170.500   4.907309E+041   3.674235E-010
  1000.000     1.000   287.167   172.469   174.456   7.548911E+042   2.034659E-006
