 Unit of Ucorr, Hcorr and Gcorr is kcal/mol, unit of U, H and G is a.u.
 
     T(K)     P(atm)    Ucorr     Hcorr     Gcorr            U                H                G
    50.000     1.000   222.877   222.976   219.135      -847.945011      -847.944853      -847.950973
   100.000     1.000   224.274   224.473   215.063      -847.942784      -847.942468      -847.957462
   150.000     1.000   226.282   226.581   210.279      -847.939584      -847.939108      -847.965086
   200.000     1.000   228.787   229.184   204.833      -847.935592      -847.934959      -847.973765
   250.000     1.000   231.766   232.263   198.768      -847.930845      -847.930053      -847.983430
   300.000     1.000   235.241   235.837   192.111      -847.925307      -847.924357      -847.994039
   350.000     1.000   239.233   239.928   184.875      -847.918946      -847.917838      -848.005570
   400.000     1.000   243.742   244.536   177.069      -847.911761      -847.910494      -848.018010
   450.000     1.000   248.750   249.644   168.700      -847.903779      -847.902354      -848.031347
   500.000     1.000   254.228   255.221   159.776      -847.895050      -847.893466      -848.045568
   550.000     1.000   260.140   261.233   150.308      -847.885628      -847.883886      -848.060656
   600.000     1.000   266.451   267.643   140.308      -847.875571      -847.873671      -848.076593
   650.000     1.000   273.127   274.418   129.786      -847.864933      -847.862874      -848.093360
   700.000     1.000   280.137   281.528   118.758      -847.853762      -847.851545      -848.110934
   750.000     1.000   287.453   288.944   107.236      -847.842102      -847.839727      -848.129296
   800.000     1.000   295.052   296.642    95.233      -847.829993      -847.827459      -848.148424
   850.000     1.000   302.910   304.599    82.763      -847.817469      -847.814778      -848.168296
   900.000     1.000   311.009   312.797    69.839      -847.804564      -847.801714      -848.188893
   950.000     1.000   319.329   321.217    56.472      -847.791305      -847.788296      -848.210194
  1000.000     1.000   327.855   329.842    42.675      -847.777718      -847.774551      -848.232181
