 Unit of S, CV and CP is cal/mol/K, q(V=0)/NA and q(bot)/NA are dimensionless
 
     T(K)     P(atm)      S         CV        CP       q(V=0)/NA      q(bot)/NA
    50.000     1.000    76.410    20.612    22.599   9.941304E+012   0.000000E+000
   100.000     1.000    93.128    33.716    35.703   5.192597E+015   0.000000E+000
   150.000     1.000   107.197    44.411    46.399   8.589311E+017   0.000000E+000
   200.000     1.000   119.949    54.028    56.015   7.804746E+019   3.755902E-226
   250.000     1.000   131.949    63.824    65.811   4.805674E+021   2.676940E-175
   300.000     1.000   143.572    74.149    76.136   2.265791E+023   6.458378E-141
   350.000     1.000   155.007    84.728    86.715   8.854392E+024   5.829718E-116
   400.000     1.000   166.315    95.135    97.122   3.017468E+026   6.619427E-097
   450.000     1.000   177.486   105.042   107.029   9.254874E+027   8.635873E-082
   500.000     1.000   188.487   114.273   116.260   2.603848E+029   1.943380E-069
   550.000     1.000   199.284   122.773   124.760   6.796943E+030   4.225688E-059
   600.000     1.000   209.849   130.559   132.546   1.657430E+032   2.798252E-050
   650.000     1.000   220.164   137.685   139.672   3.791704E+033   1.248769E-042
   700.000     1.000   230.220   144.213   146.200   8.161174E+034   6.622120E-036
   750.000     1.000   240.013   150.205   152.192   1.656163E+036   6.325059E-030
   800.000     1.000   249.545   155.718   157.705   3.174170E+037   1.486685E-024
   850.000     1.000   258.820   160.800   162.787   5.754309E+038   1.091929E-019
   900.000     1.000   267.844   165.493   167.480   9.881213E+039   3.018409E-015
   950.000     1.000   276.623   169.833   171.820   1.609457E+041   3.637973E-011
  1000.000     1.000   285.167   173.851   175.839   2.489934E+042   2.151091E-007
