 Unit of Ucorr, Hcorr and Gcorr is kcal/mol, unit of U, H and G is a.u.
 
     T(K)     P(atm)    Ucorr     Hcorr     Gcorr            U                H                G
    50.000     1.000   225.130   225.229   221.408      -847.981067      -847.980908      -847.986997
   100.000     1.000   226.499   226.698   217.385      -847.978884      -847.978567      -847.993408
   150.000     1.000   228.461   228.759   212.679      -847.975759      -847.975283      -848.000908
   200.000     1.000   230.923   231.320   207.330      -847.971835      -847.971201      -848.009431
   250.000     1.000   233.867   234.364   201.376      -847.967143      -847.966351      -848.018920
   300.000     1.000   237.314   237.910   194.839      -847.961649      -847.960699      -848.029338
   350.000     1.000   241.286   241.982   187.729      -847.955320      -847.954211      -848.040668
   400.000     1.000   245.784   246.579   180.053      -847.948151      -847.946885      -848.052900
   450.000     1.000   250.791   251.685   171.817      -847.940172      -847.938747      -848.066026
   500.000     1.000   256.277   257.271   163.027      -847.931430      -847.929847      -848.080034
   550.000     1.000   262.206   263.299   153.693      -847.921981      -847.920240      -848.094908
   600.000     1.000   268.542   269.735   143.825      -847.911884      -847.909984      -848.110633
   650.000     1.000   275.251   276.543   133.436      -847.901193      -847.899135      -848.127190
   700.000     1.000   282.301   283.692   122.538      -847.889958      -847.887742      -848.144557
   750.000     1.000   289.663   291.154   111.144      -847.878225      -847.875850      -848.162714
   800.000     1.000   297.313   298.903    99.267      -847.866034      -847.863501      -848.181642
   850.000     1.000   305.228   306.917    86.920      -847.853422      -847.850730      -848.201317
   900.000     1.000   313.387   315.175    74.116      -847.840420      -847.837570      -848.221722
   950.000     1.000   321.771   323.659    60.867      -847.827058      -847.824050      -848.242836
  1000.000     1.000   330.365   332.352    47.185      -847.813364      -847.810197      -848.264639
