 Unit of S, CV and CP is cal/mol/K, q(V=0)/NA and q(bot)/NA are dimensionless
 
     T(K)     P(atm)      S         CV        CP       q(V=0)/NA      q(bot)/NA
    50.000     1.000    76.326    20.816    22.803   1.066379E+013   0.000000E+000
   100.000     1.000    93.718    34.886    36.873   5.952767E+015   0.000000E+000
   150.000     1.000   108.335    45.498    47.485   1.103427E+018   0.000000E+000
   200.000     1.000   121.415    54.879    56.866   1.111931E+020   1.349077E-223
   250.000     1.000   133.617    64.468    66.456   7.446770E+021   3.460471E-173
   300.000     1.000   145.367    74.600    76.587   3.754433E+023   4.270877E-139
   350.000     1.000   156.880    84.981    86.969   1.547603E+025   2.401559E-114
   400.000     1.000   168.227    95.188    97.175   5.502190E+026   1.916528E-095
   450.000     1.000   179.410   104.898   106.885   1.744789E+028   1.901333E-080
   500.000     1.000   190.402   113.942   115.929   5.037699E+029   3.434123E-068
   550.000     1.000   201.172   122.270   124.257   1.341160E+031   6.228377E-058
   600.000     1.000   211.699   129.900   131.887   3.318183E+032   3.539050E-049
   650.000     1.000   221.967   136.885   138.873   7.668480E+033   1.384561E-041
   700.000     1.000   231.969   143.288   145.275   1.661306E+035   6.544350E-035
   750.000     1.000   241.704   149.170   151.157   3.382873E+036   5.645140E-029
   800.000     1.000   251.175   154.584   156.571   6.488896E+037   1.211046E-023
   850.000     1.000   260.387   159.579   161.567   1.174735E+039   8.188879E-019
   900.000     1.000   269.347   164.196   166.183   2.010751E+040   2.099017E-014
   950.000     1.000   278.062   168.469   170.456   3.259476E+041   2.360090E-010
  1000.000     1.000   286.541   172.428   174.415   5.011874E+042   1.308555E-006
