 Unit of Ucorr, Hcorr and Gcorr is kcal/mol, unit of U, H and G is a.u.
 
     T(K)     P(atm)    Ucorr     Hcorr     Gcorr            U                H                G
    50.000     1.000   222.933   223.033   219.216      -847.945182      -847.945024      -847.951106
   100.000     1.000   224.344   224.543   215.171      -847.942934      -847.942617      -847.957552
   150.000     1.000   226.363   226.661   210.411      -847.939716      -847.939241      -847.965138
   200.000     1.000   228.874   229.271   204.988      -847.935715      -847.935082      -847.973779
   250.000     1.000   231.855   232.352   198.948      -847.930964      -847.930172      -847.983406
   300.000     1.000   235.330   235.926   192.316      -847.925427      -847.924477      -847.993974
   350.000     1.000   239.319   240.015   185.107      -847.919069      -847.917961      -848.005462
   400.000     1.000   243.825   244.620   177.329      -847.911889      -847.910622      -848.017857
   450.000     1.000   248.830   249.724   168.989      -847.903913      -847.902488      -848.031147
   500.000     1.000   254.304   255.297   160.096      -847.895190      -847.893607      -848.045319
   550.000     1.000   260.212   261.305   150.660      -847.885775      -847.884033      -848.060357
   600.000     1.000   266.519   267.711   140.692      -847.875724      -847.873824      -848.076242
   650.000     1.000   273.191   274.483   130.205      -847.865091      -847.863032      -848.092955
   700.000     1.000   280.198   281.589   119.211      -847.853925      -847.851708      -848.110475
   750.000     1.000   287.511   289.002   107.724      -847.842270      -847.839895      -848.128780
   800.000     1.000   295.107   296.697    95.757      -847.830166      -847.827632      -848.147851
   850.000     1.000   302.963   304.652    83.323      -847.817647      -847.814955      -848.167665
   900.000     1.000   311.059   312.847    70.435      -847.804745      -847.801895      -848.188203
   950.000     1.000   319.377   321.265    57.106      -847.791490      -847.788481      -848.209445
  1000.000     1.000   327.900   329.888    43.347      -847.777906      -847.774740      -848.231372
